City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Port Alfred,ZA,-33.5906,26.891,53.85,40,5,8.7,clear sky
108,Dolores,AR,-36.3132,-57.6792,45.41,82,100,5.95,overcast clouds
109,Ixtapa,MX,20.7,-105.2,88.83,58,75,8.05,broken clouds
110,Bengkulu,ID,-3.8004,102.2655,74.71,74,98,3.91,overcast clouds
111,Poum,NC,-20.2333,164.0167,72.52,70,87,19.84,overcast clouds
112,Teahupoo,PF,-17.8333,-149.2667,80.56,68,13,16.69,few clouds
113,Fomboni,KM,-12.28,43.7425,77.32,70,2,19.6,clear sky
114,Benghazi,LY,32.1167,20.0667,79.92,73,0,11.01,clear sky
115,Nanortalik,GL,60.1432,-45.2371,46.45,82,16,8.37,few clouds
116,Piacabucu,BR,-10.4056,-36.4344,74.21,87,2,9.17,clear sky
117,Lebu,CL,-37.6167,-73.65,48.69,81,25,2.89,scattered clouds
118,Aitape,PG,-3.1374,142.3475,84.78,68,97,3.71,overcast clouds
119,Tulun,RU,54.5611,100.5792,67.78,61,15,2.04,few clouds
120,San Cristobal,VE,7.7669,-72.225,77.18,90,41,3.22,scattered clouds
121,Natal,BR,-5.795,-35.2094,75.85,83,20,4.61,few clouds
122,Srednekolymsk,RU,67.45,153.6833,72.55,42,23,9.22,few clouds
123,Carnarvon,AU,-24.8667,113.6333,55.47,57,57,3.44,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,67.55,78,76,9.28,broken clouds
125,Bonanza,NI,14.0289,-84.591,75.6,89,76,2.73,broken clouds
126,Norman Wells,CA,65.282,-126.8329,49.75,81,98,12.57,light rain
127,Arona,ES,28.0996,-16.681,71.02,72,0,3.44,clear sky
128,Xinzhi,CN,36.4989,111.7047,86.2,59,37,2.42,scattered clouds
129,Dunedin,NZ,-45.8742,170.5036,48.79,59,97,10.0,overcast clouds
130,Bairiki,KI,1.3292,172.9752,80.6,89,75,8.05,broken clouds
131,Lompoc,US,34.6391,-120.4579,76.21,75,1,12.66,clear sky
132,Meulaboh,ID,4.1363,96.1285,75.65,86,97,3.42,overcast clouds
133,Lavrentiya,RU,65.5833,-171.0,52.79,78,64,6.87,broken clouds
134,Barbastro,ES,42.0356,0.1269,65.77,75,12,6.6,few clouds
135,Urumqi,CN,43.801,87.6005,68.95,49,0,4.47,clear sky
136,Narsaq,GL,60.9167,-46.05,48.42,81,16,1.12,few clouds
137,Mecca,SA,21.4267,39.8261,86.9,23,35,3.65,scattered clouds
138,Hadrut,AZ,39.52,47.0318,68.88,50,100,5.57,overcast clouds
139,Kitimat,CA,54.0524,-128.6534,73.9,49,100,3.0,overcast clouds
140,Ilulissat,GL,69.2167,-51.1,41.02,87,75,14.97,light intensity shower rain
141,Hithadhoo,MV,-0.6,73.0833,82.02,75,94,8.41,overcast clouds
142,Emba,KZ,48.8264,58.1442,63.37,40,49,9.06,scattered clouds
143,Hambantota,LK,6.1241,81.1185,78.64,81,92,13.15,overcast clouds
144,Rakovnik,CZ,50.1037,13.7334,61.72,100,54,5.26,light rain
145,Chopda,IN,21.25,75.3,79.27,85,83,8.68,broken clouds
146,Alta Floresta,BR,-9.8756,-56.0861,71.42,68,0,2.3,clear sky
