City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Perry Hall,US,84.81,clear sky,39.4126,-76.4636,Hilton Garden Inn Baltimore/White Marsh
289,Santa Rosa,PH,85.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
291,Rosetta,EG,77.56,clear sky,31.4044,30.4164,Green Valley
293,Nenjiang,CN,75.38,overcast clouds,49.1833,125.2167,Nenjiang Apartment
294,Tawau,MY,80.73,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
297,Bageshwar,IN,70.43,broken clouds,29.85,79.7667,Danu Janral Store
298,Sioux Lookout,CA,75.18,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
300,Thompson,CA,84.15,scattered clouds,55.7435,-97.8558,Burntwood Hotel
302,Niamey,NE,86.29,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
304,Balabac,PH,80.24,moderate rain,7.9868,117.0645,Sing and Swing Lodge
307,Nanchang,CN,87.55,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
308,Kollam,IN,78.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
309,Camapua,BR,73.11,scattered clouds,-19.5314,-54.0439,Comercial Estrela
310,Hit,IQ,89.92,clear sky,33.6416,42.8251,صالون زيرو
311,Morondava,MG,70.03,few clouds,-20.2833,44.2833,La Case Bambou
312,Mazagao,BR,78.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
314,Naze,JP,83.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
316,Palmer,US,80.15,thunderstorm,42.1584,-72.3287,Wedgewood Motel
317,North Bend,US,71.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
319,Bandundu,CD,73.45,broken clouds,-3.3167,17.3667,Coja Color
320,Manavgat,TR,88.21,clear sky,36.7867,31.4431,River Boutique Hotel
322,Nishihara,JP,85.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
323,Takoradi,GH,76.37,light rain,4.8845,-1.7554,Raybow International Hotel
325,Pachino,IT,77.04,clear sky,36.7186,15.0907,Pietra Bianca B&B
326,Popondetta,PG,87.53,overcast clouds,-8.7537,148.2534,Timos Transit House
332,Mughal Sarai,IN,84.27,broken clouds,25.3,83.1167,Hotel Sunshine Inn
333,Kingsville,US,86.41,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
344,Myingyan,MM,84.45,overcast clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
345,Shimoda,JP,79.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
348,Lewistown,US,81.34,clear sky,40.5992,-77.5714,Quality Inn & Suites
350,Minab,IR,87.3,overcast clouds,27.1467,57.0801,Bam campground
352,Dubti,ET,87.6,light rain,11.7361,41.0853,degu Shiferaw
353,Amahai,ID,76.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
355,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
356,Ucluelet,CA,85.05,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
359,Padilla,CO,76.57,broken clouds,3.2204,-76.3139,La Granadina
360,Havelock,US,83.05,few clouds,34.8791,-76.9013,Sherwood Motel
363,Luwuk,ID,76.96,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
364,Coolum Beach,AU,71.11,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
365,Tezu,IN,75.38,overcast clouds,27.9167,96.1667,Circuit House
368,Zeya,RU,71.35,light rain,53.75,127.2667,Kapital Inn
370,Conakry,GN,78.33,light rain,9.538,-13.6773,Riviera Royal Hotel
371,Kashi,CN,80.22,few clouds,39.4547,75.9797,帕米尔青年旅舍
372,Peniche,PT,74.73,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
374,Labuhan,ID,76.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
375,Gorontalo,ID,77.76,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
