City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
352,352,San Francisco,US,-122.4194,-122.4194,76.98,68,20,5.01,few clouds
353,353,Ishigaki,JP,124.1572,124.1572,80.73,89,75,13.8,broken clouds
354,354,Bahia Honda,CU,-83.1592,-83.1592,79.09,82,77,5.75,broken clouds
362,362,Komsomolskiy,UZ,71.7189,71.7189,79.52,31,77,2.3,broken clouds
364,364,Natal,BR,-35.2094,-35.2094,75.42,88,75,9.8,broken clouds
368,368,Iberia,US,-91.7507,-91.7507,78.98,89,40,8.77,scattered clouds
369,369,Harper,LR,-7.7169,-7.7169,78.19,86,100,10.13,overcast clouds
370,370,Pundaguitan,PH,126.1689,126.1689,82.36,77,50,6.2,scattered clouds
373,373,Manggar,ID,108.2667,108.2667,86.04,67,25,10.74,scattered clouds
374,374,Yantai,CN,121.4,121.4,77.65,48,100,9.1,light rain
375,375,Juegang,CN,121.1855,121.1855,84.92,32,98,10.07,light rain
376,376,Lorengau,PG,147.2712,147.2712,84.81,65,48,3.53,scattered clouds
377,377,San Patricio,US,-97.5169,-97.5169,83.12,88,2,14.0,clear sky
382,382,Mana,GF,-53.7767,-53.7767,75.72,88,100,1.81,overcast clouds
383,383,Puerto Madero,MX,-92.4215,-92.4215,79.0,100,40,0.0,scattered clouds
391,391,Umm Lajj,SA,37.2685,37.2685,81.77,51,0,10.36,clear sky
394,394,Jaffna,LK,80.0074,80.0074,83.82,78,100,18.5,overcast clouds
397,397,Sao Felix Do Xingu,BR,-51.995,-51.995,78.26,69,98,2.84,overcast clouds
398,398,Ahuimanu,US,-157.8378,-157.8378,83.91,60,75,16.11,broken clouds
402,402,Kavieng,PG,150.7967,150.7967,83.77,69,12,5.46,light rain
407,407,Alugan,PH,125.4808,125.4808,83.62,72,75,4.45,light rain
411,411,Honiara,SB,159.95,159.95,86.34,67,22,7.54,few clouds
412,412,Maningrida,AU,134.2667,134.2667,84.02,56,5,8.79,clear sky
415,415,Acapulco,MX,-99.8901,-99.8901,85.82,74,75,8.03,broken clouds
416,416,Fare,PF,-151.0167,-151.0167,80.96,76,66,9.95,broken clouds
417,417,San Andres,CO,-81.7006,-81.7006,84.22,79,20,13.8,few clouds
422,422,Malindi,KE,40.1191,40.1191,78.28,75,3,19.57,clear sky
423,423,Sulphur,US,-93.3774,-93.3774,81.21,88,1,5.84,clear sky
427,427,Moose Factory,CA,-80.6094,-80.6094,77.0,78,1,9.22,clear sky
430,430,Port Hedland,AU,118.5667,118.5667,82.45,23,76,19.57,broken clouds
435,435,Novo Aripuana,BR,-60.3797,-60.3797,75.22,90,99,2.51,overcast clouds
437,437,Westport,US,-73.3579,-73.3579,82.17,74,1,6.44,clear sky
443,443,Ternate,ID,127.4,127.4,83.82,69,59,4.25,broken clouds
444,444,Sur,OM,59.5289,59.5289,82.62,78,0,12.28,clear sky
446,446,Winder,US,-83.7202,-83.7202,80.78,80,90,13.8,overcast clouds
